Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5477843,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Кукковка,1979.0,37.4,2.5,открытый двор,1,0,Косметический ремонт,2300.0
5504528,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,Инд,Панельные,Древлянка,1994.0,39.0,2.5,открытый двор,1,0,Косметический ремонт,2570.0
5524384,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,3,Инд,Кирпичные,Первомайский,1992.0,37.0,2.5,открытый двор,1,0,Косметический ремонт,2300.0
5473547,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,65.2,2.55,открытый двор,3,0,Ремонт по дизайн проекту,4500.0
5524720,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,6,Инд,Блочные,Кукковка,1992.0,37.8,2.5,открытый двор,2,0,Косметический ремонт,3000.0
5513581,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Кирпичные,Центр,1963.0,30.6,2.5,открытый двор,1,0,Современный ремонт,2490.0
5494362,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1970.0,28.8,2.5,открытый двор,2,0,Косметический ремонт,3170.0
5520582,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Древлянка,2015.0,69.5,2.5,открытый двор,3,0,Современный ремонт,5270.0
5511990,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,75 ,Панельные,Кукковка,1978.0,35.5,2.5,открытый двор,1,0,Современный ремонт,2900.0
5520872,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Древлянка,1989.0,65.2,2.5,открытый двор,3,0,Косметический ремонт,4600.0
5489447,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,17,Инд,Панельные,Первомайский,2018.0,37.0,2.5,открытый двор,1,0,Современный ремонт,3499.0
5519675,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Перевалка,1989.0,65.6,2.5,открытый двор,3,0,Современный ремонт,4399.0
5509623,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2012.0,35.1,2.5,открытый двор,1,0,Косметический ремонт,2999.0
5503075,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Панельные,Октябрьский,1979.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,770.0
5485723,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,9,Инд,Панельные,Древлянка,2015.0,54.2,2.5,открытый двор,2,0,Косметический ремонт,4950.0
5491163,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2015.0,51.2,2.5,открытый двор,2,0,Современный ремонт,4550.0
5503412,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,1992.0,63.0,2.5,открытый двор,3,0,Косметический ремонт,4450.0
5508470,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Голиковка,1984.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,565.0
5525280,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Ключевая,1992.0,44.9,2.5,открытый двор,2,0,Косметический ремонт,2400.0
