Код объекта,Комнатность,Ремонт,Балкон,Материал окон,Серия,Год постройки,Стены,url,Адрес,наземный паркинг,гостевой паркинг,парковка отсутствует,подземный паркинг,гараж во дворе,парковка,Двор,Железная дверь,Счетчик воды,во двор,на детскую площадку,стены соседних домов,памятники архитектуры,культуры,пешеходные бульвары,дороги,трассы,автомобильные мосты,Высота потолков,Общая площадь,этаж,всего этажей,цена
5719858,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Кирпичные,https://ptz.etagi.com//realty/5719858/,Сулажгора,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,32.0,2,5,2000.0
5722266,1,Косметический ремонт,Есть балкон,Пластиковые,Общ,1990.0,Кирпичные,https://ptz.etagi.com//realty/5722266/,Сулажгора,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,12.8,2,5,450.0
5731077,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,1990.0,Кирпичные,https://ptz.etagi.com//realty/5731077/,Зарека,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,49.0,3,5,3200.0
5730225,1,Косметический ремонт,Нет балкона,Пластиковые,Общ,1979.0,Кирпичные,https://ptz.etagi.com//realty/5730225/,Зарека,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.6,18.3,4,5,950.0
5719679,2,Современный ремонт,Есть балкон,Пластиковые,Инд,2018.0,Монолитные,https://ptz.etagi.com//realty/5719679/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,48.7,9,9,5000.0
5717639,1,Улучшенная черновая отделка,Есть балкон,Пластиковые,Инд,,Монолитные,https://ptz.etagi.com//realty/5717639/,Кукковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,36.0,3,16,2700.0
5722572,1,Современный ремонт,Есть балкон,Пластиковые,Инд,2006.0,Кирпичные,https://ptz.etagi.com//realty/5722572/,Кукковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,43.9,1,5,3750.0
5734536,2,Современный ремонт,Есть балкон,Пластиковые,Инд,1965.0,Панельные,https://ptz.etagi.com//realty/5734536/,Октябрьский,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,45.0,1,5,3300.0
5731778,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,1968.0,Кирпичные,https://ptz.etagi.com//realty/5731778/,Первомайский,1,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,49.4,1,5,2500.0
5721461,3,Косметический ремонт,Есть балкон,Пластиковые,Инд,1939.0,Кирпичные,https://ptz.etagi.com//realty/5721461/,Первомайский,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,3.24,77.9,4,4,4990.0
